S#,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,city,state
94,"Clearbrook (Greenwood), Minnesota",9/10/2015,5,0,4,Yes,White,Male,47.69618799,-95.42844094,Clearbrook (Greenwood), Minnesota
95,"Bristol, Tennessee",8/29/2015,3,1,4,,White,Male,36.55605824,-82.21429551,Bristol, Tennessee
96,"Roanoke, Virginia",8/26/2015,3,1,3,,Black,Male,37.27823366,-79.95816104,Roanoke, Virginia
97,"Rochester, New York",8/19/2015,3,4,7,,Black,Male,43.16968370000001,-77.614337,Rochester, New York
98,"Houston, Texas",8/8/2015,8,0,8,,Black,Male,29.79705548,-95.36763856,Houston, Texas
99,"Lafayette, Louisiana",7/23/2015,3,9,11,Yes,White,Male,30.21233538,-92.0316453,Lafayette, Louisiana
100,"Suwanee, Georgia",7/22/2015,4,1,4,,White,Male,34.05057545,-84.06872262,Suwanee, Georgia
101,"Chattanooga, Tennessee",7/16/2015,5,3,7,Yes,White,Male,35.09318123,-85.23676751,Chattanooga, Tennessee
102,"River Forest, Illinois",7/12/2015,2,3,4,,,Male,41.89499946,-87.81941392,River Forest, Illinois
103,"Morven, North Carolina",6/20/2015,0,4,4,,,Male,34.86379864,-79.9996781,Morven, North Carolina
104,"Charleston, South Carolina",6/17/2015,9,1,10,,White,Male,32.788387,-79.933143,Charleston, South Carolina
105,"Miami Gardens, Florida",6/16/2015,0,4,4,,Black,Male,25.94326707,-80.24253243,Miami Gardens, Florida
106,"Menasha, Wisconsin",6/11/2015,3,1,4,Yes,Latino,Male,,,Menasha, Wisconsin
107,"Deer Lodge, Montana",6/7/2015,5,0,4,,White,Male,46.39761858,-112.73293329999998,Deer Lodge, Montana
108,"Cleveland, Ohio",5/31/2015,3,1,3,,,Male,41.47657557,-81.68051502,Cleveland, Ohio
109,"Conyers, Georgia",5/31/2015,3,2,4,,White,Male,33.66086267,-84.02688527,Conyers, Georgia
110,"Decatur, Illinois",5/25/2015,1,4,5,,Black,Male,39.85566372,-88.93346458,Decatur, Illinois
111,"Tucson, Arizona",5/12/2015,5,0,4,Yes,,Male,32.15358905,-110.96776470000002,Tucson, Arizona
112,"Newark, New Jersey",5/10/2015,1,3,4,,Black,Male,40.73169648,-74.18417699,Newark, New Jersey
113,"Menasha, Wisconsin",5/3/2015,4,1,4,Yes,,Male,44.20455909,-88.4484585,Menasha, Wisconsin
114,"Milwaukee, Wisconsin",5/1/2015,2,3,5,No,,Male,43.06420322,-87.96724385,Milwaukee, Wisconsin
115,"Gates, New York",4/25/2015,1,6,7,,Black,Male,43.15693027,-77.69300856,Gates, New York
116,"Killeen, Texas",4/21/2015,2,3,5,,Black,Male,31.07925506,-97.73392317,Killeen, Texas
117,"Phoenix, Arizona",4/16/2015,5,0,4,,Other,Male,33.57145875,-112.0904854,Phoenix, Arizona
118,"Rome, Georgia",4/7/2015,1,3,4,No,Black,Male,34.26779152,-85.18822422,Rome, Georgia
119,"Indianapolis, Indiana",4/5/2015,0,5,5,No,,Male,39.77725479,-86.14635359,Indianapolis, Indiana
120,"Daytona Beach, Florida",4/3/2015,0,4,4,No,Black,Male,29.19313443,-81.10173014,Daytona Beach, Florida
121,"Tulsa, Oklahoma",3/30/2015,4,0,3,,Asian,Male,36.13543238,-95.91316117,Tulsa, Oklahoma
122,"Panama City Beach, Florida",3/28/2015,0,7,7,No,Black,Male,30.22540212,-85.87371301,Panama City Beach, Florida
123,"Little Water, New Mexico",3/19/2015,2,2,3,,,Male,36.443290000000005,-108.723281,Little Water, New Mexico
124,"Mesa, Arizona",3/18/2015,1,5,6,No,White,Male,33.42268696,-111.8163202,Mesa, Arizona
